Trial,Strategy,Threshold_Dist,Final_Fraction,TimeToConverge
5,Betweenness,Beta_High,0.0125,1
6,Random,Beta_High,0.01,0
6,Degree,Beta_High,0.0105,1
6,Betweenness,Beta_High,0.0115,1
7,Random,Beta_High,0.01,0
7,Degree,Beta_High,0.0105,1
7,Betweenness,Beta_High,0.0115,1
8,Random,Beta_High,0.0105,1
8,Degree,Beta_High,0.012,1
8,Betweenness,Beta_High,0.0135,1
9,Random,Beta_High,0.011,1
9,Degree,Beta_High,0.011,1
9,Betweenness,Beta_High,0.0125,1
0,Random,Normal,0.016,2
0,Degree,Normal,0.9955,16
0,Betweenness,Normal,0.9955,19
1,Random,Normal,0.0145,2
1,Degree,Normal,0.9955,15
1,Betweenness,Normal,0.9955,15
2,Random,Normal,0.014,3
2,Degree,Normal,0.9955,17
2,Betweenness,Normal,0.9955,16
3,Random,Normal,0.0105,1
3,Degree,Normal,0.0765,5
3,Betweenness,Normal,0.0875,11
4,Random,Normal,0.0155,1
4,Degree,Normal,0.9955,16
4,Betweenness,Normal,0.9955,16
5,Random,Normal,0.0155,3
5,Degree,Normal,0.9955,17
5,Betweenness,Normal,0.9955,18
6,Random,Normal,0.019,4
6,Degree,Normal,0.9955,16
6,Betweenness,Normal,0.9955,16
7,Random,Normal,0.0135,2
7,Degree,Normal,0.9955,16
7,Betweenness,Normal,0.9955,17
8,Random,Normal,0.013,1
8,Degree,Normal,0.9955,18
8,Betweenness,Normal,0.9955,18
9,Random,Normal,0.011,1
9,Degree,Normal,0.9955,16
9,Betweenness,Normal,0.9955,16
0,Random,Constant_0.4,0.01,0
0,Degree,Constant_0.4,0.0165,2
0,Betweenness,Constant_0.4,0.021,2
1,Random,Constant_0.4,0.01,0
1,Degree,Constant_0.4,0.0165,2
1,Betweenness,Constant_0.4,0.021,2
2,Random,Constant_0.4,0.01,0
2,Degree,Constant_0.4,0.0165,2
2,Betweenness,Constant_0.4,0.021,2
3,Random,Constant_0.4,0.01,0
3,Degree,Constant_0.4,0.0165,2
3,Betweenness,Constant_0.4,0.021,2
4,Random,Constant_0.4,0.011,1
4,Degree,Constant_0.4,0.0165,2
4,Betweenness,Constant_0.4,0.021,2
5,Random,Constant_0.4,0.0105,1
5,Degree,Constant_0.4,0.0165,2
5,Betweenness,Constant_0.4,0.021,2
6,Random,Constant_0.4,0.0115,1
6,Degree,Constant_0.4,0.0165,2
6,Betweenness,Constant_0.4,0.021,2
7,Random,Constant_0.4,0.01,0
7,Degree,Constant_0.4,0.0165,2
7,Betweenness,Constant_0.4,0.021,2
8,Random,Constant_0.4,0.01,0
8,Degree,Constant_0.4,0.0165,2
8,Betweenness,Constant_0.4,0.021,2
9,Random,Constant_0.4,0.012,1
9,Degree,Constant_0.4,0.0165,2
9,Betweenness,Constant_0.4,0.021,2
10,Random,Fixed_0.2,0.0535,14
10,Degree,Fixed_0.2,0.9955,9
10,Betweenness,Fixed_0.2,0.9955,9
10,Random,Uniform,0.207,21
10,Degree,Uniform,0.727,30
10,Betweenness,Uniform,0.7455,29
10,Random,Beta_Low,0.9955,20
10,Degree,Beta_Low,0.9955,7
10,Betweenness,Beta_Low,0.9955,8
10,Random,Beta_Mid,0.016,3
10,Degree,Beta_Mid,0.071,11
10,Betweenness,Beta_Mid,0.069,6
10,Random,Beta_High,0.01,0
10,Degree,Beta_High,0.011,1
10,Betweenness,Beta_High,0.013,1
10,Random,Normal,0.0145,1
10,Degree,Normal,0.9955,15
10,Betweenness,Normal,0.9955,15
10,Random,Constant_0.4,0.0105,1
10,Degree,Constant_0.4,0.0165,2
10,Betweenness,Constant_0.4,0.021,2
11,Random,Fixed_0.2,0.013,4
11,Degree,Fixed_0.2,0.9955,9
11,Betweenness,Fixed_0.2,0.9955,9
11,Random,Uniform,0.0375,14
11,Degree,Uniform,0.784,28
11,Betweenness,Uniform,0.779,30
11,Random,Beta_Low,0.0165,2
11,Degree,Beta_Low,0.994,8
11,Betweenness,Beta_Low,0.994,9
11,Random,Beta_Mid,0.0105,1
11,Degree,Beta_Mid,0.0565,5
11,Betweenness,Beta_Mid,0.066,8
11,Random,Beta_High,0.01,0
11,Degree,Beta_High,0.0115,1
11,Betweenness,Beta_High,0.013,1
11,Random,Normal,0.01,0
11,Degree,Normal,0.9955,18
11,Betweenness,Normal,0.9955,19
11,Random,Constant_0.4,0.011,1
11,Degree,Constant_0.4,0.0165,2
11,Betweenness,Constant_0.4,0.021,2
12,Random,Fixed_0.2,0.0155,4
12,Degree,Fixed_0.2,0.9955,9
12,Betweenness,Fixed_0.2,0.9955,9
12,Random,Uniform,0.217,24
12,Degree,Uniform,0.824,35
12,Betweenness,Uniform,0.8175,50
12,Random,Beta_Low,0.022,5
12,Degree,Beta_Low,0.9955,8
12,Betweenness,Beta_Low,0.9955,8
12,Random,Beta_Mid,0.0115,2
12,Degree,Beta_Mid,0.0625,5
12,Betweenness,Beta_Mid,0.067,6
12,Random,Beta_High,0.0105,1
12,Degree,Beta_High,0.011,1
12,Betweenness,Beta_High,0.0135,1
12,Random,Normal,0.017,2
12,Degree,Normal,0.9955,18
12,Betweenness,Normal,0.9955,18
12,Random,Constant_0.4,0.01,0
12,Degree,Constant_0.4,0.0165,2
12,Betweenness,Constant_0.4,0.021,2
13,Random,Fixed_0.2,0.012,1
13,Degree,Fixed_0.2,0.9955,9
13,Betweenness,Fixed_0.2,0.9955,9
13,Random,Uniform,0.22,23
13,Degree,Uniform,0.699,27
13,Betweenness,Uniform,0.681,29
13,Random,Beta_Low,0.0245,6
13,Degree,Beta_Low,0.9955,8
13,Betweenness,Beta_Low,0.9955,8
13,Random,Beta_Mid,0.0115,1
13,Degree,Beta_Mid,0.07,9
13,Betweenness,Beta_Mid,0.0745,6
13,Random,Beta_High,0.01,0
13,Degree,Beta_High,0.011,1
13,Betweenness,Beta_High,0.0125,1
13,Random,Normal,0.012,1
13,Degree,Normal,0.9955,25
13,Betweenness,Normal,0.9955,22
13,Random,Constant_0.4,0.01,0
13,Degree,Constant_0.4,0.0165,2
13,Betweenness,Constant_0.4,0.021,2
14,Random,Fixed_0.2,0.0125,3
14,Degree,Fixed_0.2,0.9955,9
14,Betweenness,Fixed_0.2,0.9955,9
14,Random,Uniform,0.175,23
14,Degree,Uniform,0.582,39
14,Betweenness,Uniform,0.5915,40
14,Random,Beta_Low,0.9955,16
14,Degree,Beta_Low,0.9955,8
14,Betweenness,Beta_Low,0.9955,8
14,Random,Beta_Mid,0.0125,3
14,Degree,Beta_Mid,0.0585,6
14,Betweenness,Beta_Mid,0.0635,4
14,Random,Beta_High,0.01,0
14,Degree,Beta_High,0.011,1
14,Betweenness,Beta_High,0.012,1
14,Random,Normal,0.013,2
14,Degree,Normal,0.9955,15
14,Betweenness,Normal,0.9955,14
14,Random,Constant_0.4,0.01,0
14,Degree,Constant_0.4,0.0165,2
14,Betweenness,Constant_0.4,0.021,2
15,Random,Fixed_0.2,0.01,0
15,Degree,Fixed_0.2,0.9955,9
15,Betweenness,Fixed_0.2,0.9955,9
15,Random,Uniform,0.6905,50
15,Degree,Uniform,0.8815,31
15,Betweenness,Uniform,0.8815,34
15,Random,Beta_Low,0.027,7
15,Degree,Beta_Low,0.9955,7
15,Betweenness,Beta_Low,0.9955,6
15,Random,Beta_Mid,0.0125,1
15,Degree,Beta_Mid,0.115,32
15,Betweenness,Beta_Mid,0.0585,6
15,Random,Beta_High,0.01,0
15,Degree,Beta_High,0.011,1
15,Betweenness,Beta_High,0.0125,1
15,Random,Normal,0.029,9
15,Degree,Normal,0.9955,16
15,Betweenness,Normal,0.9955,17
15,Random,Constant_0.4,0.01,0
15,Degree,Constant_0.4,0.0165,2
15,Betweenness,Constant_0.4,0.021,2
16,Random,Fixed_0.2,0.01,0
16,Degree,Fixed_0.2,0.9955,9
16,Betweenness,Fixed_0.2,0.9955,9
16,Random,Uniform,0.145,23
16,Degree,Uniform,0.7975,36
16,Betweenness,Uniform,0.79,30
16,Random,Beta_Low,0.9955,25
16,Degree,Beta_Low,0.9955,7
16,Betweenness,Beta_Low,0.9955,7
16,Random,Beta_Mid,0.0125,3
16,Degree,Beta_Mid,0.0605,4
16,Betweenness,Beta_Mid,0.066,6
16,Random,Beta_High,0.01,0
16,Degree,Beta_High,0.011,1
16,Betweenness,Beta_High,0.0125,1
16,Random,Normal,0.0135,2
16,Degree,Normal,0.9955,13
16,Betweenness,Normal,0.9955,14
16,Random,Constant_0.4,0.0105,1
16,Degree,Constant_0.4,0.0165,2
16,Betweenness,Constant_0.4,0.021,2
17,Random,Fixed_0.2,0.0125,4
17,Degree,Fixed_0.2,0.9955,9
17,Betweenness,Fixed_0.2,0.9955,9
17,Random,Uniform,0.049,8
17,Degree,Uniform,0.655,30
17,Betweenness,Uniform,0.6375,30
17,Random,Beta_Low,0.9955,25
17,Degree,Beta_Low,0.9955,8
17,Betweenness,Beta_Low,0.9955,8
17,Random,Beta_Mid,0.011,1
17,Degree,Beta_Mid,0.0705,5
17,Betweenness,Beta_Mid,0.074,5
17,Random,Beta_High,0.01,0
17,Degree,Beta_High,0.0105,1
17,Betweenness,Beta_High,0.012,1
17,Random,Normal,0.016,2
17,Degree,Normal,0.9955,19
17,Betweenness,Normal,0.9955,20
17,Random,Constant_0.4,0.01,0
17,Degree,Constant_0.4,0.0165,2
17,Betweenness,Constant_0.4,0.021,2
18,Random,Fixed_0.2,0.0145,2
18,Degree,Fixed_0.2,0.9955,9
