Strategy,Threshold_Dist,Final_Mean,Final_STD,TimeToConv_Mean,TimeToConv_STD
Betweenness,Beta_High,0.01282,0.0007922279375307353,1.06,0.24576902997864514
Betweenness,Beta_Low,0.9954540000000001,0.00024059575111090326,7.292,0.7174653930773324
Betweenness,Beta_Mid,0.07456442711457709,0.06424812632940245,7.748450309938012,6.459011927869997
Betweenness,Constant_0.4,0.021,0.0,2.0,0.0
Betweenness,Fixed_0.2,0.9955,0.0,9.0,0.0
Betweenness,Normal,0.969493,0.14974163867586768,16.114,2.7359282542012138
Betweenness,Uniform,0.6718165927524071,0.12878614683478432,31.988892884254266,8.878706284844942
Degree,Beta_High,0.01143,0.0006805281219325121,1.052,0.2308638818119396
Degree,Beta_Low,0.9954540000000001,0.00024059575111090326,7.224,0.6795899305455801
Degree,Beta_Mid,0.06740490380384785,0.05746000962714616,7.237710491580337,5.258654909950033
Degree,Constant_0.4,0.0165,0.0,2.0,0.0
Degree,Fixed_0.2,0.9955,0.0,9.0,0.0
Degree,Normal,0.9581270000000001,0.18013043954315422,15.672,2.9135469020117104
Degree,Uniform,0.6784127577113633,0.12261851379925513,32.36175483458526,8.442327412839951
Random,Beta_High,0.010143000000000001,0.0002665592657434486,0.252,0.43875243605934017
Random,Beta_Low,0.38832700000000003,0.4675941791165211,11.238,8.395247179625363
Random,Beta_Mid,0.011849,0.0013163465769820842,1.338,0.7897980445899112
Random,Constant_0.4,0.010336000000000001,0.00048281810708897797,0.446,0.5282945805197624
Random,Fixed_0.2,0.0141,0.006749875734626333,2.382,2.5776620751508403
Random,Normal,0.01378,0.002249400451697227,1.766,0.9461922696748543
Random,Uniform,0.18490396213603866,0.16386950595977884,22.48272556616208,13.544179216687633
