Strategy,Beta_High,Beta_Low,Beta_Mid,Constant_0.4,Fixed_0.2,Normal,Uniform
Betweenness,0.01282,0.9954540000000001,0.074467,0.021,0.9955,0.969493,0.671729
Degree,0.01143,0.9954540000000001,0.06737699999999999,0.0165,0.9955,0.9581270000000001,0.678336
Random,0.010143000000000001,0.388327,0.011849,0.010336,0.0141,0.013779999999999999,0.184418
