Strategy,Beta_High,Beta_Low,Beta_Mid,Constant_0.4,Fixed_0.2,Normal,Uniform
Betweenness,0.000641,0.0497727,0.0037233500000000003,0.0010500000000000002,0.049775,0.04847465,0.033586450000000004
Degree,0.0005715,0.0497727,0.0033688499999999996,0.000825,0.049775,0.04790635,0.033916800000000004
Random,0.00050715,0.01941635,0.00059245,0.0005168,0.000705,0.0006889999999999999,0.0092209
