Node,Betweenness
4,0.19053364307242518
6,0.12979584876232306
5,0.12477744165208678
7,0.11394838298988162
0,0.0726732746247755
3,0.06382272291657183
12,0.06291188001368021
8,0.04172873347333918
22,0.039132740926334675
34,0.037795024526523904
10,0.03723439285189359
1,0.035126459059569834
25,0.03451477019428367
16,0.033588960201390045
56,0.03318554053172853
9,0.029518099434084538
26,0.022621527639792884
14,0.022525811767448074
30,0.022386776623857605
81,0.01953692201488708
29,0.017354046444047776
33,0.017246311609630246
20,0.016809597995453875
117,0.01635726973090165
45,0.016213235794419183
95,0.01597880626919162
13,0.015337509400131599
113,0.014011340340043057
71,0.013664132780074863
47,0.013591729119080418
23,0.013230252800471302
18,0.013033410937078556
51,0.012953018406977773
15,0.012035613350382427
91,0.011376867006350997
11,0.011366045836231464
84,0.011271567203563848
99,0.011135369979674516
70,0.01107714015976112
76,0.010855336630100418
77,0.010814175425528627
58,0.010627157823072155
69,0.010411221330674382
64,0.010397297187262074
85,0.010217714941610752
38,0.009488589465716138
31,0.009474463132763046
78,0.0094039819021443
28,0.009323326458681974
94,0.009268854107896058
46,0.009227462123073
19,0.00899298688692079
41,0.008920958297111412
98,0.008581519425627836
49,0.00826912187930471
42,0.008218876053200593
102,0.008185273092250431
21,0.008063716959892041
74,0.007924052984833901
115,0.007853767328553724
122,0.007765775611239215
43,0.007600284116320647
27,0.007574151857707816
55,0.006946660457201812
44,0.0069179846099081685
32,0.0068930514360287
73,0.006824964973171685
37,0.006575356776236191
50,0.006558623684183928
54,0.0064311691208669974
546,0.0064149915120157285
66,0.006371262728312776
97,0.006178499532054924
103,0.006089956022411775
39,0.005905503724489342
110,0.005802009772761781
53,0.005735993457168401
36,0.005714965012121962
128,0.005538946461453291
120,0.005411377644939552
116,0.005354758004579871
161,0.005313135219274631
48,0.0052362024927205915
105,0.005220292164862103
62,0.004996856552314109
106,0.004928893343044317
534,0.004866476613543365
100,0.004696007294119308
139,0.004692454024873111
65,0.00468434214993751
281,0.004548264877045838
80,0.004368354351240065
86,0.004350252761924697
108,0.004282229434535993
75,0.004257695822885939
60,0.00425627026834625
130,0.004152057080261922
199,0.004114749260554841
111,0.004060004565958275
68,0.003990109759045644
156,0.0038554855320555473
59,0.0038476386770219424
79,0.0038112821545290515
118,0.003811147095541914
89,0.0036646122195661836
575,0.00361566969983198
17,0.0035368482900418985
