Strategy,Beta_High,Beta_Low,Beta_Mid,Constant_0.4,Fixed_0.2,Normal,Uniform
Betweenness,0.044929000000000004,0.999865,0.334849,0.2575,1.0,1.0,0.493691
Degree,0.045527,0.999865,0.33795400000000003,0.252,1.0,1.0,0.49579199999999995
Random,0.010648,0.950586,0.019351,0.012771000000000001,0.994341,0.052402000000000004,0.06214
