Strategy,"Beta_High, Normal, Constant_0.4",Beta_Low,Beta_Mid,Fixed_0.2,Uniform
Betweenness,0.012875000000000001,0.04999325,0.01674245,0.05,0.02468455
Degree,0.0126,0.04999325,0.0168977,0.05,0.0247896
Random,0.00064485,0.047529300000000003,0.00096755,0.04971705,0.003107
