Strategy,Beta_High,Beta_Low,Beta_Symmetric,Constant_0.05,Constant_0.1,Constant_0.15,Constant_0.2,Constant_0.3,Constant_0.4,Fixed_0.2,Normal,Uniform
Betweenness,0.0001032589765494502,0.005282438921003658,0.0011916335633274566,0.005283464831519769,0.005283464831519769,0.005283464831519769,0.005283464831519769,0.0010185520637637263,0.0008896793188438671,0.005283464831519769,0.00528218656375035,0.0039875100484674285
Degree,0.00011467948897698842,0.0052822057959908365,0.0023168731230032427,0.005283231706506947,0.005283231706506947,0.005283231706506947,0.005283231706506947,0.005283231706506947,0.0009043407503287119,0.005283231706506947,0.005281953438737528,0.004236462347066393
Random,8.886835518274479e-05,0.0031256518044698463,0.00010942035373198376,0.005283652156751311,0.005283480648261053,0.0009405378441337113,0.0009305867757397948,9.291579050859858e-05,9.015996402959448e-05,0.0005306411255471105,0.00012637576285037198,0.0016237100982150682
