Strategy,Beta_High,Beta_Low,Beta_Symmetric,Constant_0.05,Constant_0.1,Constant_0.15,Constant_0.2,Constant_0.3,Constant_0.4,Fixed_0.2,Normal,Uniform
Betweenness,0.036526260133944305,0.995498472564916,0.500687345787804,0.9957261191399366,0.9957261191399366,0.9957261191399366,0.9957261191399366,0.5137909763835037,0.4748854423686994,0.9957261191399365,0.9954970038773352,0.8026671366466926
Degree,0.041337680648572434,0.9953662906826459,0.6396721889319703,0.9955939372576665,0.9955939372576665,0.9955939372576665,0.9955939372576665,0.9955939372576665,0.4764716249559394,0.9955939372576665,0.9953648219950653,0.8437169545294325
Random,0.03024321466337681,0.7517697685348372,0.03913464927740571,0.9957261191399366,0.9956996827634825,0.5049259781459288,0.5038508988367995,0.03168840324286218,0.030763130066972153,0.27794912466220184,0.04481847021501586,0.4562845141581483
