Trial,Strategy,Threshold_Dist,Seed_Fraction,Step,Adoption_Fraction,Final_Fraction,TimeToConverge,SeedsCount
0,Random,Fixed_0.2,0.01,0,0.009957701797673598,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,1,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,2,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,3,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,4,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,5,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,6,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,7,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,8,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,9,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,10,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,11,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,12,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,13,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,14,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,15,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,16,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,17,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,18,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,19,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,20,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,21,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,22,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,23,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,24,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,25,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,26,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,27,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,28,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,29,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,30,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,31,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,32,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,33,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,34,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,35,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,36,0.011367641875220304,0.011367641875220304,1,113
0,Random,Fixed_0.2,0.01,37,0.011367641875220304,0.011367641875220304,1,113
